,pay kodu,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
75,HALKB,T. HALK BANKASI,XU100,XU100,XU100,XU100,XU100
76,TSKB,T.S.K.B.,XU100,XU100,XU100,XU100,XU100
77,TATGD,TAT GIDA,XU100,XU100,XU100,XU100,XU100
78,TAVHL,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100,XU100
79,TKFEN,TEKFEN HOLDING,XU100,XU100,XU100,XU100,XU100
80,TOASO,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100,XU100
81,TRGYO,TORUNLAR GMYO,XU100,XU100,XU100,XU100,XU100
82,TRCAS,TURCAS PETROL,XU100,,,,
83,TCELL,TURKCELL,XU100,XU100,XU100,XU100,XU100
84,TMSN,TUMOSAN MOTOR VE TRAKTOR,XU100,XU100,XU100,XU100,XU100
85,TUPRS,TUPRAS,XU100,XU100,XU100,XU100,XU100
86,THYAO,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100,XU100
87,TTKOM,TURK TELEKOM,XU100,XU100,XU100,XU100,XU100
88,TTRAK,TURK TRAKTOR,XU100,XU100,XU100,XU100,XU100
89,TURSG,TURKIYE SIGORTA,XU100,XU100,XU100,XU100,XU100
90,ULKER,ULKER BISKUVI,XU100,XU100,XU100,XU100,XU100
91,VAKBN,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100,XU100
92,VESTL,VESTEL,XU100,XU100,XU100,XU100,XU100
93,YKBNK,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100,XU100
94,YATAS,YATAS,XU100,XU100,XU100,XU100,XU100
95,ZOREN,ZORLU ENERJI,XU100,XU100,XU100,XU100,XU100
96,AKCNS,AKCANSA,,XU100,XU100,XU100,XU100
97,GLYHO,GLOBAL YAT. HOLDING,,XU100,XU100,XU100,
98,OZKGY,OZAK GMYO,,XU100,XU100,XU100,XU100
99,RYGYO,REYSAS GMYO,,XU100,XU100,,
100,SELEC,SELCUK ECZA DEPOSU,,XU100,XU100,XU100,XU100
101,SARKY,SARKUYSAN,,,XU100,,
102,BAGFS,BAGFAS,,,,XU100,XU100
103,DOCO,DO-CO,,,,XU100,XU100
104,OYAKC,OYAK CIMENTO,,,,XU100,XU100
105,ARDYZ,ARD BILISIM TEKNOLOJILERI,,,,,XU100
106,AKSGY,AKIS GMYO,,,,,XU100
107,ALCTL,ALCATEL LUCENT TELETAS,,,,,XU100
108,PETUN,PINAR ET VE UN,,,,,XU100
109,PNSUT,PINAR SUT,,,,,XU100
